2007.628272,3.969171484
2009.947106,3.946050096
2012.266685,3.91522158
2015.359207,3.876685934
2018.452474,3.83044316
2020.387439,3.784200385
2023.096094,3.722543353
2026.18936,3.676300578
2028.51117,3.622350674
2030.834468,3.552986513
2033.542378,3.499036609
2035.864188,3.445086705
2038.186742,3.383429672
2039.349506,3.337186898
2042.056673,3.290944123
2043.994614,3.213872832
2046.316424,3.159922929
2048.252133,3.105973025
2050.574687,3.044315992
2052.51114,2.98265896
2054.833694,2.921001927
2056.770148,2.859344894
2058.319013,2.813102119
2061.027667,2.751445087
2063.737809,2.674373796
2065.673518,2.620423892
2067.995328,2.566473988
2070.317882,2.504816956
2072.640436,2.443159923
2074.962989,2.38150289
2077.671644,2.319845857
2079.992709,2.273603083
2082.313775,2.227360308
2083.863384,2.173410405
2086.958139,2.111753372
2089.665305,2.065510597
2092.760804,1.996146435
2095.082614,1.942196532
2098.17588,1.895953757
2099.724001,1.857418112
2101.658223,1.818882466
2103.978545,1.780346821
2106.298867,1.741811175
2109.006033,1.695568401
2112.098556,1.657032755
2113.646677,1.61849711
2116.3531,1.579961464
2118.673422,1.541425819
2120.993744,1.502890173
1999.902545,4.007707129
2002.605992,4
2004.923338,3.992292871
